type	N	numinstance	budget	fitness
uf	50	0	10000	216
uf	50	0	100000	217
uf	50	0	1000000	218
uf	50	1	10000	217
uf	50	1	100000	217
uf	50	1	1000000	218
uf	50	2	10000	218
uf	50	2	100000	218
uf	50	2	1000000	218
uf	50	3	10000	217
uf	50	3	100000	217
uf	50	3	1000000	218
uf	50	4	10000	218
uf	50	4	100000	218
uf	50	4	1000000	218
uf	50	5	10000	217
uf	50	5	100000	217
uf	50	5	1000000	218
uf	50	6	10000	218
uf	50	6	100000	218
uf	50	6	1000000	218
uf	50	7	10000	216
uf	50	7	100000	216
uf	50	7	1000000	218
uf	50	8	10000	217
uf	50	8	100000	217
uf	50	8	1000000	218
uf	50	9	10000	218
uf	50	9	100000	218
uf	50	9	1000000	218
uuf	50	0	10000	215
uuf	50	0	100000	217
uuf	50	0	1000000	217
uuf	50	1	10000	215
uuf	50	1	100000	216
uuf	50	1	1000000	217
uuf	50	2	10000	216
uuf	50	2	100000	217
uuf	50	2	1000000	217
uuf	50	3	10000	215
uuf	50	3	100000	217
uuf	50	3	1000000	217
uuf	50	4	10000	215
uuf	50	4	100000	217
uuf	50	4	1000000	217
uuf	50	5	10000	215
uuf	50	5	100000	217
uuf	50	5	1000000	217
uuf	50	6	10000	217
uuf	50	6	100000	217
uuf	50	6	1000000	217
uuf	50	7	10000	216
uuf	50	7	100000	216
uuf	50	7	1000000	217
uuf	50	8	10000	216
uuf	50	8	100000	217
uuf	50	8	1000000	217
uuf	50	9	10000	217
uuf	50	9	100000	217
uuf	50	9	1000000	217
cbs	100	0	10000	423
cbs	100	0	100000	425
cbs	100	0	1000000	426
cbs	100	1	10000	424
cbs	100	1	100000	426
cbs	100	1	1000000	427
cbs	100	2	10000	426
cbs	100	2	100000	428
cbs	100	2	1000000	428
cbs	100	3	10000	423
cbs	100	3	100000	426
cbs	100	3	1000000	427
cbs	100	4	10000	426
cbs	100	4	100000	427
cbs	100	4	1000000	427
cbs	100	5	10000	425
cbs	100	5	100000	426
cbs	100	5	1000000	428
cbs	100	6	10000	425
cbs	100	6	100000	425
cbs	100	6	1000000	427
cbs	100	7	10000	423
cbs	100	7	100000	426
cbs	100	7	1000000	427
cbs	100	8	10000	427
cbs	100	8	100000	428
cbs	100	8	1000000	428
cbs	100	9	10000	424
cbs	100	9	100000	427
cbs	100	9	1000000	428
uf	100	0	10000	423
uf	100	0	100000	426
uf	100	0	1000000	428
uf	100	1	10000	424
uf	100	1	100000	426
uf	100	1	1000000	428
uf	100	2	10000	426
uf	100	2	100000	428
uf	100	2	1000000	429
uf	100	3	10000	425
uf	100	3	100000	428
uf	100	3	1000000	429
uf	100	4	10000	425
uf	100	4	100000	429
uf	100	4	1000000	429
uf	100	5	10000	430
uf	100	5	100000	430
uf	100	5	1000000	430
uf	100	6	10000	425
uf	100	6	100000	428
uf	100	6	1000000	428
uf	100	7	10000	427
uf	100	7	100000	427
uf	100	7	1000000	428
uf	100	8	10000	425
uf	100	8	100000	426
uf	100	8	1000000	427
uf	100	9	10000	427
uf	100	9	100000	427
uf	100	9	1000000	428
uuf	100	0	10000	423
uuf	100	0	100000	425
uuf	100	0	1000000	428
uuf	100	1	10000	427
uuf	100	1	100000	427
uuf	100	1	1000000	427
uuf	100	2	10000	424
uuf	100	2	100000	426
uuf	100	2	1000000	427
uuf	100	3	10000	423
uuf	100	3	100000	426
uuf	100	3	1000000	427
uuf	100	4	10000	425
uuf	100	4	100000	426
uuf	100	4	1000000	427
uuf	100	5	10000	424
uuf	100	5	100000	425
uuf	100	5	1000000	426
uuf	100	6	10000	423
uuf	100	6	100000	427
uuf	100	6	1000000	428
uuf	100	7	10000	424
uuf	100	7	100000	425
uuf	100	7	1000000	427
uuf	100	8	10000	425
uuf	100	8	100000	427
uuf	100	8	1000000	427
uuf	100	9	10000	424
uuf	100	9	100000	425
uuf	100	9	1000000	426
